age_rating_s,age rating s,健全
idolmaster_(classic),idolmaster (classic),アイドルマスター（クラシック）
pokemon_(game),pokemon (game),ポケモン（ゲーム）
remodel_(kantai_collection),remodel (kantai collection),改造（艦隊コレクション）
crossed_arms,crossed arms,交差腕
grey_eyes,grey eyes,グレーの目
from_above,from above,上から
undressing,undressing,脱衣
bandages,bandages,包帯
ocean,ocean,海洋
on_side,on side,側
bondage,bondage,ボンデージ
stuffed_toy,stuffed toy,ぬいぐるみ
bed_sheet,bed sheet,ベッドシーツ
strapless,strapless,ストラップレス
thigh_gap,thigh gap,太もものギャップ
striped_panties,striped panties,縞模様のパンティー
sleeping,sleeping,睡眠
cat,cat,ネコ
looking_to_the_side,looking to the side,側面に目を向けます
arms_behind_back,arms behind back,背中の後ろに腕
couple,couple,カップル
blazer,blazer,ブレザー
parted_bangs,parted bangs,別れた前髪
shiny_hair,shiny hair,つやのある髪
jojo_no_kimyou_na_bouken,jojo no kimyou na bouken,ジョジョ冒険NAなしkimyouを
animal,animal,動物
cum_on_body,cum on body,身体上の兼
mole_under_eye,mole under eye,目の下モル
sandals,sandals,サンダル
obi,obi,帯
chair,chair,椅子
younger,younger,年下
bare_arms,bare arms,裸の武器
crossover,crossover,クロスオーバー
katana,katana,カタナ
watermark,watermark,透かし
girls_und_panzer,girls und panzer,女の子ウントパンツァー
knee_boots,knee boots,膝のブーツ
crop_top,crop top,クロップトップ
pokemon_(creature),pokemon (creature),ポケモン（生き物）
flying_sweatdrops,flying sweatdrops,飛んsweatdrops
short_twintails,short twintails,短いtwintails
chinese_clothes,chinese clothes,中国の服
breast_grab,breast grab,胸のグラブ
formal,formal,フォーマル
wavy_hair,wavy hair,ウェーブのかかった髪
outstretched_arms,outstretched arms,伸ばした腕
gradient_hair,gradient hair,勾配髪
panty_pull,panty pull,パンティープル
beach,beach,ビーチ
lipstick,lipstick,口紅
patchouli_knowledge,patchouli knowledge,パチュリー・ノーレッジ
alice_margatroid,alice margatroid,アリス・マーガトロイド
nose_blush,nose blush,鼻赤面
face,face,面
helmet,helmet,ヘルメット
depth_of_field,depth of field,被写界深度
fangs,fangs,牙
kochiya_sanae,kochiya sanae,kochiya早苗
fate/stay_night,fate/stay night,フェイト/ステイナイト
>_<,> <,> <
shadow,shadow,影
stuffed_animal,stuffed animal,動物のぬいぐるみ
polka_dot,polka dot,水玉模様
oral,oral,オーラル
detached_collar,detached collar,デタッチ襟
/\/\/\,/\/\/\,/ \ / \ / \
light_smile,light smile,光の笑顔
one_side_up,one side up,片側アップ
;d,;d,; D
mob_cap,mob cap,モブキャップ
looking_away,looking away,余所見
blue_dress,blue dress,青い服
love_live!_school_idol_project,love live! school idol project,ライブが大好き！学校のアイドルプロジェクト
bent_over,bent over,かがん
3boys,3boys,3boys
sisters,sisters,姉妹
open_jacket,open jacket,オープンジャケット
trembling,trembling,震え
cover_page,cover page,表紙ページ
covered_navel,covered navel,カバーへそ
black_ribbon,black ribbon,黒のリボン
short_dress,short dress,短いドレス
expressionless,expressionless,無表情
wolf_ears,wolf ears,狼の耳
tokin_hat,tokin hat,帽子トーキン
happy,happy,ハッピー
ass_visible_through_thighs,ass visible through thighs,お尻太ももを通して見えます
skirt_set,skirt set,スカートセット
facial_hair,facial hair,顔の毛
suspenders,suspenders,サスペンダー
cirno,cirno,チルノ
yakumo_yukari,yakumo yukari,八雲ゆかり
red_skirt,red skirt,赤いスカート
low_twintails,low twintails,低twintails
polearm,polearm,ハルバード
toes,toes,つま先
from_below,from below,下から
bar_censor,bar censor,バー検閲
crown,crown,クラウン
skindentation,skindentation,skindentation
scar,scar,傷跡
facial_mark,facial mark,顔のマーク
antenna_hair,antenna hair,アンテナ髪
tan,tan,日焼け
buttons,buttons,ボタン
final_fantasy,final fantasy,ファイナルファンタジー
genderswap,genderswap,ジェンダー
konpaku_youmu,konpaku youmu,魂魄妖夢
bug,bug,バグ
scrunchie,scrunchie,シュシュ
admiral_(kantai_collection),admiral (kantai collection),提督（艦隊コレクション）
sleeveless_dress,sleeveless dress,ノースリーブのドレス
fire,fire,火
casual,casual,カジュアル
bike_shorts,bike shorts,自転車ショーツ
neck_ribbon,neck ribbon,首のリボン
cleavage_cutout,cleavage cutout,切断カットアウト
crescent,crescent,三日月
pink_panties,pink panties,ピンクのパンティー
hair_bun,hair bun,髪のパン
sunlight,sunlight,日光
leg_up,leg up,脚アップ
table,table,テーブル
backpack,backpack,バックパック
k-on!,k-on!,けいおん！
otoko_no_ko,otoko no ko,無KO男
crossed_legs,crossed legs,交差足
floating_hair,floating hair,浮動髪
wind,wind,風
suit,suit,スーツ
thigh_strap,thigh strap,太ももストラップ
pov,pov,POV
insect,insect,昆虫
multiple_tails,multiple tails,複数の尾
pointing,pointing,ポインティング
staff,staff,スタッフ
monster_girl,monster girl,モンスターガール
check_translation,check translation,チェック翻訳
floral_print,floral print,花柄
third_eye,third eye,第三の目
phone,phone,電話
crying,crying,泣いて
cherry_blossoms,cherry blossoms,桜
squatting,squatting,下座
doujinshi,doujinshi,同人誌
multiple_views,multiple views,複数のビュー
surprised,surprised,驚きました
heart-shaped_pupils,heart-shaped pupils,ハート型の生徒
sleeveless_shirt,sleeveless shirt,ランニングシャツ
no_pants,no pants,ズボンがない
outstretched_arm,outstretched arm,伸ばした腕
blue_background,blue background,青色の背景
halterneck,halterneck,ホルターネック
knife,knife,ナイフ
head_wings,head wings,頭の羽
fire_emblem,fire emblem,火災エンブレム
character_request,character request,文字要求
convenient_censoring,convenient censoring,便利な検閲
child,child,子
side-tie_panties,side-tie panties,サイドタイパンティー
covering,covering,カバー
all_fours,all fours,四つんばい
instrument,instrument,器械
gauntlets,gauntlets,ガントレット
cum_on_upper_body,cum on upper body,上半身の兼
checkered,checkered,市松
shinkaisei-kan,shinkaisei-kan,shinkaisei館
on_stomach,on stomach,胃に
granblue_fantasy,granblue fantasy,グランブルーファンタジー
soles,soles,足の裏
peaked_cap,peaked cap,ハンチング
shaded_face,shaded face,影の顔
azur_lane,azur lane,アズールレーン
kiss,kiss,接吻
feathers,feathers,羽毛
swept_bangs,swept bangs,掃引前髪
revision,revision,リビジョン
bunnysuit,bunnysuit,bunnysuit
ground_vehicle,ground vehicle,地上車両
looking_down,looking down,見下ろします
shameimaru_aya,shameimaru aya,shameimaru彩
lace,lace,レース
fellatio,fellatio,フェラチオ
text_focus,text focus,テキストフォーカス
denim,denim,デニム
jpeg_artifacts,jpeg artifacts,JPEGアーティファクト
blouse,blouse,ブラウス
gundam,gundam,ガンダム
breast_press,breast press,乳房プレス
towel,towel,タオル
:<,:<,：<
fujiwara_no_mokou,fujiwara no mokou,藤原mokouません
black_bow,black bow,黒弓
cardigan,cardigan,カーディガン
grass,grass,草
on_bed,on bed,ベッドの上で
akemi_homura,akemi homura,明美ほむら
lyrical_nanoha,lyrical nanoha,リリカルなのは
no_shoes,no shoes,何の靴ません
pink_background,pink background,ピンクの背景
pink_bow,pink bow,ピンクの弓
red_dress,red dress,赤いドレス
hong_meiling,hong meiling,香港美鈴
facial,facial,フェイシャル
no_headwear,no headwear,帽子なし
nature,nature,自然
bottle,bottle,ボトル
looking_up,looking up,見上げる
wallpaper,wallpaper,壁紙
artoria_pendragon_(all),artoria pendragon (all),artoriaのペンドラゴン（すべて）
loafers,loafers,ローファー
goggles,goggles,ゴーグル
adapted_costume,adapted costume,適応衣装
tareme,tareme,tareme
ring,ring,リング
cellphone,cellphone,携帯電話
musical_note,musical note,音符
hands,hands,手
hat_bow,hat bow,帽子の弓
foreshortening,foreshortening,短縮
pale_skin,pale skin,青白い肌
upskirt,upskirt,パンチラ
letterboxed,letterboxed,レターボックス
tiara,tiara,ティアラ
fan,fan,ファン
suzumiya_haruhi_no_yuuutsu,suzumiya haruhi no yuuutsu,憂鬱なし涼宮ハルヒ
tank_top,tank top,タンクトップ
plant,plant,工場
microphone,microphone,マイクロフォン
no_hat,no hat,なし帽子
reisen_udongein_inaba,reisen udongein inaba,ライゼンudongein稲葉
bow_panties,bow panties,弓パンティー
butterfly,butterfly,バタフライ
angry,angry,怒りました
standing_on_one_leg,standing on one leg,片足で立っ
mary_janes,mary janes,メアリージェーンズ
slit_pupils,slit pupils,スリット生徒
sheath,sheath,シース
front-tie_top,front-tie top,フロントタイトップ
kaname_madoka,kaname madoka,かなめまどか
straddling,straddling,またがり
between_breasts,between breasts,胸の間
komeiji_koishi,komeiji koishi,komeiji小石
white_bikini,white bikini,白ビキニ
muscle,muscle,筋
spoilers,spoilers,スポイラー
twin_drills,twin drills,ツインドリル
multicolored,multicolored,多色の
girl_on_top,girl on top,トップの女の子
bikini_top,bikini top,ビキニトップ
world_witches_series,world witches series,世界の魔女シリーズ
breasts_outside,breasts outside,外胸
cross,cross,クロス
kemono_friends,kemono friends,獣の友達
lavender_hair,lavender hair,ラベンダーの髪
puffy_nipples,puffy nipples,腫れぼったい乳首
demon_girl,demon girl,悪魔の少女
sunglasses,sunglasses,サングラス
highleg,highleg,ハイレグ
banned_artist,banned artist,禁止アーティスト
hand_on_own_chest,hand on own chest,自分の胸に手
machinery,machinery,機械
bob_cut,bob cut,おかっぱ
anger_vein,anger vein,怒り静脈
broom,broom,帚
frilled_skirt,frilled skirt,フリルスカート
ribbon_trim,ribbon trim,リボントリム
brown_footwear,brown footwear,茶色の靴
saigyouji_yuyuko,saigyouji yuyuko,saigyouji幽々子
holding_sword,holding sword,保持剣
full_moon,full moon,満月
cum_on_breasts,cum on breasts,胸に兼
persona,persona,ペルソナ
tsurime,tsurime,tsurime
komeiji_satori,komeiji satori,komeijiさとり
cloudy_sky,cloudy sky,曇り空
black_hat,black hat,黒い帽子
hands_up,hands up,ホールドアップ
horn,horn,ホーン
dual_persona,dual persona,デュアルペルソナ
drooling,drooling,よだれ
wet_clothes,wet clothes,濡れた服
hair_intakes,hair intakes,髪の摂取量
high_ponytail,high ponytail,高いポニーテール
wristband,wristband,リストバンド
genderswap_(mtf),genderswap (mtf),ジェンダー（MTF）
box,box,ボックス
star_(sky),star (sky),スター（空）
curtains,curtains,カーテン
juliet_sleeves,juliet sleeves,ジュリエット袖
half-closed_eyes,half-closed eyes,半分閉じた目
inubashiri_momiji,inubashiri momiji,inubashiriもみじ
christmas,christmas,クリスマス
black_bikini,black bikini,黒ビキニ
carrying,carrying,携帯
clenched_teeth,clenched teeth,食いしばった歯
glowing_eyes,glowing eyes,光る目
long_legs,long legs,長い脚
anal,anal,肛門の
clenched_hand,clenched hand,食いしばっ手
:p,:p,：P
scenery,scenery,風景
animal_print,animal print,動物柄
testicles,testicles,金玉
personification,personification,擬人
fake_animal_ears,fake animal ears,偽の動物の耳
light_brown_hair,light brown hair,薄茶色の髪
breast_hold,breast hold,胸のホールド
t-shirt,t-shirt,Tシャツ
building,building,建物
strap_slip,strap slip,ストラップスリップ
snow,snow,雪
rope,rope,ロープ
mecha,mecha,メカ
armband,armband,腕章
kaga_(kantai_collection),kaga (kantai collection),加賀（艦隊コレクション）
skin_tight,skin tight,スキンタイト
brooch,brooch,ブローチ
...,...,...
english_commentary,english commentary,英語解説
kemonomimi_mode,kemonomimi mode,kemonomimiモード
corset,corset,コルセット
neon_genesis_evangelion,neon genesis evangelion,新世紀エヴァンゲリオン
androgynous,androgynous,両性具有
motor_vehicle,motor vehicle,自動車
hakama,hakama,袴
elf,elf,妖精
long_image,long image,長い画像
frilled_dress,frilled dress,フリルワンピース
bunny_tail,bunny tail,バニーテール
china_dress,china dress,チャイナドレス
o_o,o o,〇〇
santa_costume,santa costume,サンタコスチューム
black_neckwear,black neckwear,黒のネックウェアー
veil,veil,ベール
pendant,pendant,ペンダント
nontraditional_miko,nontraditional miko,非伝統的な巫女
wolf_tail,wolf tail,狼の尾
jingle_bell,jingle bell,ジングルベル
headset,headset,ヘッドセット
handgun,handgun,拳銃
candy,candy,キャンディー
night_sky,night sky,夜空
santa_hat,santa hat,サンタの帽子
rifle,rifle,ライフル
6+boys,6+boys,6人の+男の子
waist_apron,waist apron,ウエストエプロン
yakumo_ran,yakumo ran,八雲のRAN
hair_flaps,hair flaps,髪のフラップ
miki_sayaka,miki sayaka,三木さやか
to_aru_majutsu_no_index,to aru majutsu no index,とある魔術の禁書目録へ
clothes_writing,clothes writing,書き込み服
semi-rimless_eyewear,semi-rimless eyewear,セミリムレスメガネ
tentacles,tentacles,触手
group_sex,group sex,グループセックス
multiple_penises,multiple penises,複数のペニス
torn_legwear,torn legwear,引き裂かれたレッグウェア
black_shirt,black shirt,黒いシャツ
web_address,web address,ウェブアドレス
wing_collar,wing collar,ウイングカラー
breath,breath,呼吸
tanline,tanline,tanline
border,border,境界
finger_to_mouth,finger to mouth,口の中に指
headwear_removed,headwear removed,帽子削除
white_skirt,white skirt,白いスカート
panties_under_pantyhose,panties under pantyhose,パンスト下のパンティー
lolita_fashion,lolita fashion,ロリータファッション
licking,licking,ペロペロ
white_hat,white hat,白い帽子
claws,claws,爪
cross-laced_footwear,cross-laced footwear,クロス編み上げ靴
bridal_gauntlets,bridal gauntlets,ブライダルガントレット
dual_wielding,dual wielding,二刀流
messy_hair,messy hair,ボサボサの髪
strapless_dress,strapless dress,ストラップレスドレス
half_updo,half updo,半分アップヘア
brown_legwear,brown legwear,茶色のレッグウェア
spiked_hair,spiked hair,スパイクの髪
breasts_apart,breasts apart,離れ胸
close-up,close-up,閉じる
blue_bow,blue bow,ブルーのちょうネクタイ
kazami_yuuka,kazami yuuka,風見YUUKA
abs,abs,腹筋
moriya_suwako,moriya suwako,守屋諏訪湖
forest,forest,森林
partially_translated,partially translated,部分的に翻訳
sailor_dress,sailor dress,セーラードレス
masturbation,masturbation,オナニー
hips,hips,ヒップ
blue_ribbon,blue ribbon,ブルーリボン
naughty_face,naughty face,いたずらな顔
doujin_cover,doujin cover,同人カバー
paizuri,paizuri,paizuri
rumia,rumia,ルーミア
turret,turret,櫓
strike_witches,strike witches,ストライクウィッチーズ
dog_ears,dog ears,犬の耳
gift,gift,贈り物
black_jacket,black jacket,黒いジャケット
vertical_stripes,vertical stripes,縦縞
sharp_teeth,sharp teeth,鋭い歯
x_hair_ornament,x hair ornament,X髪飾り
seiza,seiza,正座
gym_uniform,gym uniform,体操服
steam,steam,蒸気
